Species,Genome Size (bp)
Bacillus phage GA1,21129
Salmonella phage L13,21248
Shayang spider virus 4,21414
Lactococcus phage vB_Llc_bIBBL12,21458
Wenzhou pacific spadenose shark paramyxovirus,21523
Rhynchobatus djiddensis adomavirus 1,21527
Lactococcus phage 50504,21562
Thermococcus prieurii virus 1,21592
Lactococcus phage PC_S1,21629
Bacillus phage Harambe,21684
Lactococcus phage M6162,21697
Lactococcus phage 62403,21704
Lactococcus phage vB_LLc_bIBB14,21710
Lactococcus phage CHPC1170,21746
Lactococcus phage vB_Llc_bIBBE1,21749
Lactococcus phage 20R03M,21750
Xingshan cricket virus,21779
Bacillus phage Gxv1,21781
Lactococcus phage vB_Llc_bIBB94p4,21834
Lactococcus phage CHPC116,21869
Lactococcus phage vB_Llc_bIBBA3,21906
Lactococcus phage 62402,21980
Lactococcus phage 37203,22029
Lactococcus phage PC_B1,22099
Lactococcus phage CHPC122,22109
Lutzomyia reovirus 1,22115
Lactococcus phage c2,22172
Lactococcus phage M6165,22179
Lactococcus phage 62606,22185
Lactococcus phage bIL67,22195
Lactococcus phage vB_Llc_bIBBp6/4,22220
Lactococcus phage M5938,22240
Lactococcus phage 50102,22242
Lactococcus phage CHPC967,22405
Lactococcus phage CHPC1020,22410
Lactococcus phage 05802,22434
Baboon orthoreovirus,22435
Acidianus bottle-shaped virus 2 strain ABV2,22613
Lactococcus phage vB_Llc_bIBBAm4,22703
Broome reovirus,22727
Hyperthermophilic Archaeal Virus 1,22743
Macrosiphum euphorbiae virus 1,22780
Gentian Kobu-sho-associated virus,22786
Lactococcus phage D4410,22825
Sanxia water strider virus 6,22879
Lactococcus phage D4412,22884
Hawaiian green turtle herpesvirus,22947
Chum salmon reovirus CS,23015
Dinovernavirus aedis,23147
Fako virus,23170
Mammalian orthoreovirus 3,23176
Yellowstone Lake virophage 7,23193
Mahlapitsi orthoreovirus,23195
Sulfolobus ellipsoid virus 1,23219
Lactococcus phage CHPC972,23281
Fall chinook aquareovirus,23307
Piscine orthoreovirus,23317
Cangyuan orthoreovirus,23325
Pulau reovirus,23405
Melaka orthoreovirus,23410
Mycoreovirus 1,23433
Mammalian orthoreovirus 3 Dearing,23570
American grass carp reovirus,23576
Avian orthoreovirus,23593
Ceratobasidium endornavirus B,23635
Acidianus rod-shaped virus 3,23666
Wuhan centipede virus,23676
Aquareovirus ctenopharyngodontis,23696
Acidianus bottle-shaped virus,23814
Callinectes sapidus reovirus 1,23909
Eriocheir sinensis reovirus,23913
Bdellovibrio phage phi1402,23931
Etheostoma fonticola aquareovirus,23958
Inachis io cypovirus 2,24041
Scophthalmus maximus reovirus,24042
Reptilian orthoreovirus,24043
Betafusellovirus yellowstonense,24186
Bacillus phage Stitch,24320
uncultured phage_Deep-GF0-KM16-C193,24480
Hubei lepidoptera virus 3,24514
Xinzhou spider virus 2,24521
Grapevine Cabernet Sauvignon reovirus,24596
Helicobacter phage phiHP33,24645
Beihai Nido-like virus 2,24648
Acidianus rod-shaped virus 1,24655
Cypovirus 1,24732
Mycoreovirus 3,24755
Cypovirus 5,24818
Cimodo virus,24835
Yellowstone Lake virophage 6,24837
Rice dwarf virus,24839
Lactococcus phage GE1,24847
Alphaspiravirus yamagawaense,24893
Sclerotinia sclerotiorum mycoreovirus 4,24899
Tai Forest reovirus,24938
Chiqui virus,25028
Bacillus phage Juan,25032
Botrylloides leachii nidovirus,25068
Trichoplusia ni cypovirus 15,25120
Spissistilus festinus reovirus,25139
Tenuivirus oryzabrevis,25142
Operophtera brumata reovirus,25194
Cypovirus 14,25325
Lactococcus phage CHPC965,25327
Porcine coronavirus HKU15,25425
Micromonas pusilla reovirus,25563
Methanophagales virus GBV303,25580
Rice gall dwarf virus,25709
Bacillus phage vB_BthP-Goe4,25722
Homalodisca vitripennis reovirus,25724
Leuconostoc phage phiLN6B,25740
Leuconostoc phage LN04,25865
Bacillus phage Aurora,25905
Wencheng Sm shrew coronavirus,25995
White-eye coronavirus HKU16,26041
Bacillus phage QCM11,26054
Bacillus phage KonjoTrouble,26061
Night heron coronavirus HKU19,26077
Sparrow coronavirus HKU17,26083
Saccharolobus solfataricus rod-shaped virus 1,26097
Methanobacterium phage psiM2,26111
Raspberry latent virus,26128
Rice ragged stunt virus,26164
Leuconostoc phage Lmd1,26201
Helicobacter phage KHP30,26215
Common moorhen coronavirus HKU21,26223
Wigeon coronavirus HKU20,26227
Gill-associated virus,26253
Gamboa mosquito virus,26315
Bacillus phage Thornton,26319
Bacillus phage DK2,26357
Thrush coronavirus HKU12-600,26396
Tetraselmis viridis virus S1,26407
Helicobacter phage KHP40,26449
Bulbul coronavirus HKU11-934,26487
Bacillus phage Claudi,26502
Leuconostoc phage P965,26526
Lactococcus phage Q54,26537
Munia coronavirus HKU13-3514,26552
Leuconostoc phage LDG,26559
White bream virus,26660
Magpie-robin coronavirus HKU18,26689
Leuconostoc phage LN03,26752
Leuconostoc phage P793,26769
Yellow head virus,26769
Helicobacter phage 1961P,26836
Bacillus phage Baseball_field,26863
Bacillus phage DK3,26865
Lactococcus phage 96403,26874
BtRf-AlphaCoV/YN2012,26975
Chinook salmon bafinivirus,27004
Shrew coronavirus,27102
Psittacine adenovirus 5,27163
Rhinolophus bat coronavirus HKU2,27165
Bacillus phage DK1,27180
Bacillus phage MG-B1,27190
Lactococcus phage R31,27203
Bacillus phage SerPounce,27206
psittacine adenovirus 7,27209
Lactococcus phage 936,27302
Human coronavirus 229E,27317
Fathead minnow nidovirus,27318
Camel alphacoronavirus,27395
Sulfolobales Mexican rudivirus 1,27431
Lactococcus virus jj50,27453
Human coronavirus NL63,27553
Lactococcus virus P2,27595
BtRf-AlphaCoV/HuB2013,27608
Infectious bronchitis virus,27608
Tylonycteris bat coronavirus HKU33,27636
Lactococcus phage CHPC362,27642
Turkey coronavirus,27657
Coronavirus AcCoV-JC34,27682
Diaphorina citri flavi-like virus,27709
Duck coronavirus,27754
BtNv-AlphaCoV/SC2013,27783
BtMr-AlphaCoV/SAX2011,27935
Lactococcus phage 38503,27948
Leuconostoc phage phiLNTR3,28015
Leuconostoc phage LN34,28022
Porcine epidemic diarrhea virus,28033
Bat coronavirus CDPHE15/USA/2006,28035
Haloarcula hispanica virus PH1,28072
Leuconostoc phage Ln-7,28093
Stygiolobus rod-shaped virus,28096
Swine enteric coronavirus,28111
Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,28128
Lactococcus phage SL4,28144
Hipposideros pomona bat coronavirus CHB25,28169
Alphacoronavirus sp.,28170
Leuconostoc phage phiLN12,28193
Scotophilus bat coronavirus 512,28203
uncultured phage MedDCM-OCT-S08-C41,28224
Porcine torovirus,28301
Bat coronavirus 1A,28326
Leuconostoc phage phiLNTR2,28336
Pyrobaculum spherical virus,28337
Lactococcus phage 936 group phage PhiA.16,28349
Lactococcus phage P656,28396
Leuconostoc phage LN25,28427
Ferret coronavirus,28434
Lactococcus phage SK1,28451
Breda virus,28475
Goat torovirus,28487
Acidianus bottle-shaped virus 3 strain ABV3,28489
Rousettus bat coronavirus HKU10,28494
Leuconostoc phage Ln-9,28527
Lactococcus phage P008,28538
Canada goose coronavirus,28539
Transmissible gastroenteritis virus,28586
Lactococcus phage CB20,28625
Lactococcus phage CB19,28643
Lactococcus phage jm3,28674
NL63-related bat coronavirus,28679
Nilaparvata lugens reovirus,28699
Lactococcus phage 16802,28721
Cellulophaga phage phi39:1,28760
Tarumizu tick virus,28762
Lucheng Rn rat coronavirus,28763
Cronobacter phage ESSI-2,28765
Miniopterus bat coronavirus HKU8,28773
Kundal virus,28778
Lactococcus phage 936 group phage PhiB1127,28785
Lactococcus phage 936 group phage Phi19.3,28811
Bangali torovirus,28850
Propionibacterium phage Attacne,28876
Lactococcus phage 66901,28917
Leuconostoc phage Ln-8,28921
Mink coronavirus strain WD1127,28941
Salmonella phage STYP1,28946
Bacillus phage DLc1,28950
Nitrosopumilus spindle-shaped virus,28967
Lactococcus phage 936 group phage PhiLj,28983
Propionibacterium phage PHL132N00,29003
Propionibacterium phage PAS50,29017
Lactococcus phage 936 group phage Phi5.12,29026
Propionibacterium phage PAD20,29074
Lactococcus phage P1532,29075
Mal de Rio Cuarto virus,29096
Bat alphacoronavirus,29097
Macrobrachium rosenbergii Golda virus,29110
Rousettus bat coronavirus HKU9,29114
Southern rice black-streaked dwarf virus,29124
Propionibacterium phage PHL111M01,29140
Rice black streaked dwarf virus,29141
Maize rough dwarf virus,29145
Colorado tick fever virus,29174
Yersinia phage vB_YenM_324,29180
Propionibacterium phage PHL113M01,29200
Propionibacterium phage P105,29202
Lactococcus phage LP9207,29203
Escherichia phage ESSI2_ev239,29203
Eyach virus,29210
Propionibacterium phage P9.1,29214
Lactococcus phage CHPC781,29218
Escherichia phage pro483,29237
Propionibacterium phage PHL152M00,29247
Propionibacterium phage BruceLethal,29249
Propionibacterium phage Moyashi,29254
Propionibacterium phage PHL117M00,29255
Propionibacterium phage PHL092M00,29261
Propionibacterium phage PHL194M00,29264
Propionibacterium phage PHL163M00,29264
Propionibacterium phage PHL055N00,29264
Propionibacterium phage PHL112N00,29266
Bat coronavirus BM48-31/BGR/2008,29276
Lactococcus phage bIBB29,29305
Lactococcus phage 96401,29306
Propionibacterium phage PHL301M00,29323
Propionibacterium phage Pirate,29324
Propionibacterium phage PHL171M01,29327
Propionibacterium phage Stormborn,29330
Propionibacterium phage QueenBey,29338
Fiji disease virus,29339
Propionibacterium phage Keiki,29339
Lactococcus phage CHPC959,29340
Propionibacterium phage Procrass1,29347
Propionibacterium phage Enoki,29347
Propionibacterium phage P1.1,29348
Feline infectious peritonitis virus,29355
Propionibacterium phage P104A,29371
Propionibacterium phage PHL067M10,29377
Propionibacterium phage PHL067M01,29377
Propionibacterium phage PHL116M00,29394
Propionibacterium phage PA1-14,29407
Hainan hebius popei torovirus,29409
Propionibacterium phage PHL041M10,29412
Propionibacterium phage PHL070N00,29421
Propionibacterium phage PHL117M01,29422
Propionibacterium phage PHL030N00,29423
Propionibacterium phage PHL179M00,29428
Propionibacterium phage PHL150M00,29438
Propionibacterium phage Solid,29440
Propionibacterium phage PHL308M00,29442
Propionibacterium phage PHL037M02,29443
Propionibacterium phage PHL085N00,29454
Lactococcus phage vB_Llc_bIBBF12,29454
Lactococcus phage CB14,29459
Propionibacterium phage Kubed,29461
Propionibacterium phage Wizzo,29463
Propionibacterium phage PHL114L00,29464
Propionibacterium phage PHL071N05,29467
Propionibacterium phage PHL082M03,29491
Propionibacterium phage PHL141N00,29494
Propionibacterium phage PHL025M00,29496
Propionibacterium phage PHL009M11,29503
Propionibacterium phage P100_A,29505
Propionibacterium phage P100D,29506
Propionibacterium phage Ouroboros,29506
Leuconostoc phage 1-A4,29508
Propionibacterium phage PHL010M04,29511
Propionibacterium phage PHL151N00,29511
Propionibacterium phage PHL151M00,29511
Salmonella phage BIS20,29512
Lactococcus phage i0139,29513
Propionibacterium phage PHL060L00,29514
Propionibacterium phage ATCC29399B_C,29516
Propionibacterium phage ATCC29399B_T,29516
Propionibacterium phage Lauchelly,29517
Yersinia phage vB_YenM_06.16-2,29546
Lactococcus phage LP9903,29557
Erwinia phage ENT90,29564
Wuhan heteroptera virus 3,29566
Propionibacterium phage P101A,29574
Ovine adenovirus 7,29576
Bat mastadenovirus WIV12,29581
Propionibacterium phage SKKY,29594
Propionibacterium phage PAC1,29605
Propionibacterium phage P100_1,29612
Lactobacillus phage Ld3,29616
Lactococcus phage P680,29631
Bat coronavirus,29642
Lactococcus phage CHPC52,29652
Lactococcus phage LP9908,29668
Propionibacterium phage MrAK,29726
Propionibacterium phage P14,29729
Salmonella phage SEN1,29733
Propionibacterium phage PA6,29739
Propionibacterium phage Pacnes 2012-15,29741
Salmonella phage FSLSP004,29742
Propionibacterium phage PHL095N00,29751
SARS coronavirus Tor2,29751
Acidianus rod-shaped virus 2,29763
Yellowstone Lake virophage 5,29767
Propionibacterium phage PHL199M00,29806
Bat mastadenovirus WIV18,29812
Severe acute respiratory syndrome coronavirus 2,29903
Bat mastadenovirus WIV17,29923
Lactococcus phage CHPC964,29925
Human coronavirus HKU1,29926
Lactococcus phage 13W11L,29952
Lactococcus phage LP8511,29953
Bovine adenovirus 6,30024
Lactococcus phage LP9404,30072
Streptococcus phage CHPC926,30077
Serpentovirinae sp.,30104
Betacoronavirus England 1,30111
Lactococcus phage 936 group phage PhiS0139,30116
Middle East respiratory syndrome-related coronavirus,30119
Lactococcus phage vB_Llc_bIBB5g1,30132
Eidolon helvum adenovirus,30134
Betacoronavirus Erinaceus/VMC/DEU/2012,30148
Rousettus bat coronavirus,30161
Lactococcus phage CHPC361,30162
Salmonella phage SI7,30164
Lactococcus phage PLgW-1,30189
Lactococcus phage LP1502a,30247
Hubei insect virus 2,30268
Yersinia phage vB_YenM_201.16,30280
Tylonycteris bat coronavirus HKU4,30286
Synechococcus phage S-CBS1,30332
Lactococcus phage LP0209,30339
Xinzhou toro-like virus,30353
Lactococcus phage 30804,30401
Erwinia phage EtG,30413
Lactococcus phage 3R16S,30446
Pipistrellus bat coronavirus HKU5,30482
Enterococcus phage EF62phi,30505
Pasteurella phage F108,30505
Lactococcus phage 712,30510
Canine adenovirus 1,30536
Canine mastadenovirus A,30536
Lactococcus phage 62503,30556
Murine adenovirus 3,30570
Haloarcula hispanica icosahedral virus 2,30578
Escherichia phage ESSI2_ev015,30584
Escherichia phage ESSI2_ev040,30597
Odocoileus adenovirus 1,30620
Escherichia phage 186,30624
Salmonella phage PSP3,30636
Pseudoalteromonas phage H105/1,30651
Streptococcus phage M102AD,30664
Lactococcus phage fd13,30674
Lactococcus phage 96603,30690
Lactococcus phage CaseusJM1,30692
Yersinia phage L-413C,30728
Human coronavirus OC43,30741
Bellinger River virus,30742
Lactococcus phage 50902,30745
Lactococcus lactis phage p272,30778
Aeromonas phage ZPAH7,30791
Lactococcus phage 936 group phage PhiF0139,30811
Lactococcus phage CHPC129,30832
Lactococcus phage 62601,30852
Guangdong red-banded snake torovirus,30859
Lactococcus phage phi145,30862
Lactococcus phage 936 group phage PhiL.18,30882
Haloarcula hispanica virus SH1,30889
Lactococcus phage BM13,30910
Lactococcus phage 56003,30926
Escherichia phage ESSI2_ev129,30927
Eggerthella phage PMBT5,30930
Murine mastadenovirus A,30944
Lactococcus phage LP9609,30945
Lactococcus lactis phage P475,30961
Lactococcus phage 37201,30989
Methanothermobacter phage psiM100,31007
Lactococcus phage 62605,31014
Bovine coronavirus,31028
Lactococcus phage 936 group phage Phi109,31033
Lactococcus phage LP0903,31049
Lactococcus phage P1045,31050
Streptococcus phage APCM01,31075
Lactobacillus phage LL-Ku,31080
Lactococcus phage jm2,31090
Yersinia phage vB_YpM_50,31096
Rabbit coronavirus HKU14,31100
Lactococcus phage Q33,31106
Butyrivibrio phage Arawn,31118
Lactococcus phage 79201,31123
Salmonella phage SW9,31123
Peduovirus P24E6b,31128
Streptococcus phage M102,31147
Lactococcus phage 936 group phage PhiL.6,31181
Acinetobacter phage AB3,31185
Escherichia phage 503458,31194
Escherichia phage P2,31200
Methanocaldococcus fervens tailed virus 1,31202
Bat mastadenovirus,31218
Betacoronavirus HKU24,31249
Rat coronavirus Parker,31250
Streptococcus phage PH10,31276
Bovine atadenovirus D,31301
Haloarcula californiae icosahedral virus 1,31314
Canine adenovirus 2,31323
Sulfolobales Beppu filamentous virus 3,31324
Peduovirus P22H4,31342
Murine hepatitis virus,31357
Lactococcus phage MV10L,31374
Lactococcus phage 936 group phage Phi4.2,31375
Lactococcus phage 936 group phage Phi44,31379
Rodent coronavirus,31393
Bat mastadenovirus G,31481
Bat Hp-betacoronavirus/Zhejiang2013,31491
Lactococcus phage 936 group phage Phi91127,31495
Lactococcus phage 88605,31508
Haemophilus phage HP2,31508
Enterobacter phage E-3,31522
Veiled chameleon serpentovirus A,31537
Bat adenovirus 2,31616
Clostridium phage phiMMP04,31674
Beluga whale coronavirus SW1,31686
Lactobacillus phage LfeSau,31703
California sea lion adenovirus 1,31709
Psittacine adenovirus 3,31735
Streptococcus phage SW22,31738
Porcine mastadenovirus B,31743
Lactococcus phage bIL170,31754
Marinomonas phage P12026,31766
Lactococcus phage ASCC465,31772
bat adenovirus 3,31806
Yersinia phage vB_YpM_22,31809
Lactococcus phage 57001,31819
Bacteriophage R18C,31834
Lactobacillus phage c5,31841
Skunk adenovirus PB1,31848
Lactococcus phage 63302,31883
Lactococcus phage 936 group phage PhiJF1,31901
Lactococcus phage phi15,31945
Yersinia phage HQ103,31962
Simian adenovirus 18,31967
Enterobacter phage phiT5282H,31978
Lactococcus phage 50101,31987
Vibrio phage 1.202.O._10N.222.45.E8,32014
Lactococcus phage ASCC281,32023
Burkholderia phage FLC5,32090
Streptococcus phage SW24,32092
Streptococcus phage SW16,32106
Peduovirus P24B2,32118
Lactococcus phage 936 group phage Phi155,32150
Peduovirus P24C9,32150
Lactococcus phage phiLC3,32172
Lactococcus phage CB13,32182
Haloarcula sinaiiensis tailed virus 1,32189
Lactococcus phage 936 group phage PhiE1127,32270
Klebsiella phage ST512-KPC3phi13.2,32302
Sulfolobus islandicus rod-shaped virus 1,32308
Lactococcus phage 8V08,32312
Burkholderia phage KS14,32317
Yersinia phage vB_YpM_46,32336
Lactococcus phage 340,32337
Haemophilus phage HP1,32355
Lactococcus phage phi7,32382
Lactococcus phage ASCC532,32384
Lactococcus phage 10W18,32393
Lactococcus phage 63301,32409
Lactococcus phage ASCC191,32414
Escherichia phage HZP2,32448
Lactococcus phage 38507,32458
Lactococcus phage 16W23,32477
Lactococcus phage 51701,32529
Lactococcus phage 56301,32555
Lactococcus phage MP1,32575
Lactococcus phage ASCC273,32582
Uncultured Caudovirales phage clone 2F_1,32618
Porcine adenovirus 5,32621
Porcine mastadenovirus C,32621
Pseudomonas phage phi3,32637
Streptococcus phage 9874,32649
Lactococcus phage CHPC958,32653
Simian adenovirus DM-2014,32661
Peduovirus P22H1,32662
Escherichia phage pro147,32675
Lactococcus phage 936 group phage PhiM1127,32682
Escherichia phage Wphi,32684
Equine adenovirus 1,32690
Lactococcus phage P4565,32697
Streptococcus phage 9871,32729
Sulfolobus islandicus rod-shaped virus 10,32735
Morelia viridis nidovirus,32753
Dendrolimus punctatus cypovirus 22,32753
Lactobacillus phage Ld25A,32799
Streptococcus phage 9873,32813
Salinivibrio phage SMHB1,32826
Clostridium phage phiCD481-1,32846
Lactobacillus phage phiPYB5,32847
Peduovirus P24A7b,32848
Burkholderia phage FLC10,32867
Verrucomicrobia phage P8625,32894
Lactococcus phage 05601,32895
Simian adenovirus 13,32939
Yersinia phage vB_YenM_31.17,32949
Lizard adenovirus 2,32965
Lactobacillus phage Ld17,32975
Sulfolobus islandicus rudivirus 3,32995
Synechococcus phage S-CBS3,33004
Yersinia phage P37,33007
Ovine mastadenovirus A,33034
Bovine adenovirus 2,33034
Escherichia phage 500465-2,33041
Equine adenovirus 2,33090
Streptococcus phage 9872,33105
Bacteriophage K139,33106
Streptococcus phage phiARI0746,33181
Duck atadenovirus A,33213
Streptococcus phage CHPC1198,33245
Yersinia phage vB_YenM_56.17,33247
Clostridium phage phiCD506,33274
Vibrio phage martha 12B12,33277
Streptococcus phage P7133,33284
Escherichia phage P2_AC1,33349
Lactococcus phage r1t,33350
Sulfolobus islandicus rod-shaped virus 11,33356
Escherichia phage Cartapus,33368
Pseudoalteromonas phage Pq0,33399
Microbacterium phage OscarSo,33432
Ball python nidovirus 1,33452
Streptococcus phage phiARI0923,33477
Tree shrew adenovirus 1,33501
Clostridium phage phi3626,33507
Streptococcus phage CHPC1151,33507
Vibrio phage Kappa,33507
Salmonella phage SEN5,33509
Salmonella phage SEN4,33509
Stenotrophomonas phage Smp131,33525
Klebsiella phage 4LV2017,33540
Peduovirus P2,33562
simian adenovirus 55,33562
Bacteriophage P2,33593
Weissella phage phiYS61,33594
Clostridium phage phiCDHM13,33596
Clostridium phage PhiS63,33609
Enterobacteria phage fiAA91-ss,33628
Weissella phage WCP30,33697
Mannheimia phage vB_MhM_3927AP2,33755
Streptococcus phage SpSL1,33756
Streptococcus phage CHPC1109,33791
Escherichia phage vB_EcoM-12474III,33807
Vibrio phage PV94,33828
Klebsiella phage ST15-OXA48phi14.1,33839
Vibrio phage vB_ValM-yong1,33851
Streptococcus phage A25,33900
Streptococcus phage SW8,33930
Deer mastadenovirus B,33945
Streptococcus phage SW27,33953
Aeromonas phage phiO18P,33985
Lactobacillus phage phiLdb,33996
Streptococcus phage P7134,34019
Streptococcus phage CHPC928,34022
Sulfolobales Beppu rod-shaped virus 1,34025
Streptococcus phage MM25,34059
Simian adenovirus 19,34064
Faecalibacterium phage FP_Lugh,34075
Bottlenose dolphin adenovirus 1,34080
Streptococcus phage D1811,34083
Porcine adenovirus 3,34094
Streptococcus phage CHPC1045,34096
Salmonella phage RE2010,34117
Streptococcus phage P7951,34123
Human mastadenovirus A,34125
Klebsiella phage ST147-VIM1phi7.1,34141
Vibrio phage VPUSM 8,34145
Lactobacillus phage iA2,34155
Lactobacillus phage iLp1308,34176
Bovine adenovirus 1,34185
Bovine mastadenovirus A,34185
Sulfolobus islandicus rod-shaped virus 7,34190
Human mastadenovirus F,34214
Streptococcus phage 53,34239
Simian adenovirus 3,34246
Streptococcus phage SW6,34276
Streptococcus phage CHPC979,34277
Streptococcus phage SW15,34289
Streptococcus phage P5651,34292
Simian adenovirus 20,34302
Streptococcus phage M19,34328
Streptococcus phage CHPC1067,34355
Baboon adenovirus 3,34391
Lactococcus phage 28201,34396
Bovine adenovirus 3,34446
Bovine mastadenovirus B,34446
simian adenovirus 1,34450
Streptococcus phage P9853,34469
Streptococcus phage P7154,34507
Mannheimia phage PHL101,34525
Pseudomonas phage PA1/KOR/2010,34553
Streptococcus phage SW4,34556
Streptococcus phage phiARI0131-2,34563
Streptococcus phage P0092,34580
Streptococcus phage 128,34593
Lactobacillus phage LL-H,34659
Geobacillus phage GBSV1,34683
Streptococcus phage SM1,34692
Streptococcus phage 2972,34704
Flavobacterium phage vB_FspM_pippi8-1,34711
Staphylococcus phage SA7,34730
Streptomyces phage Chymera,34742
Flavobacterium phage vB_FspM_lotta8-1,34751
Streptococcus phage CHPC925,34759
Idiomarinaceae phage 1N2-2,34773
Sulfolobales Virus YNP2,34783
Streptococcus phage CHPC1282,34785
Streptococcus phage CHPC1046,34790
Human adenovirus 35,34794
Streptococcus phage DT1,34815
Streptococcus phage SW1,34821
Streptococcus phage SW18,34825
Cellulophaga phage phi46:1,34844
Streptococcus phage Abc2,34882
Pelagibacter phage HTVC010P,34892
Streptococcus phage P7571,34907
Streptococcus phage CHPC1156,34912
Human adenovirus 54,34920
Streptococcus phage P0093,34932
Abalone shriveling syndrome-associated virus,34952
Erysipelothrix phage SE-1,34997
Streptococcus phage SWK6,34999
Streptococcus phage P7151,35025
red squirrel adenovirus 1,35030
Sulfolobus islandicus rod-shaped virus 4,35035
Bacillus phage 1,35055
Streptococcus phage SW1151,35056
Lactobacillus phage PLE2,35068
Salinibacter phage M8CR30-2,35099
Klebsiella phage 3LV2017,35100
Human mastadenovirus D,35100
Streptococcus phage CHPC577,35129
Streptococcus phage SW19,35153
Simian adenovirus 16,35159
Rothia phage Spartoi,35189
Murine adenovirus 2,35203
Salmonella phage SEN8,35203
Pseudoalteromonas phage C5a,35209
Streptococcus phage P9901,35211
Streptococcus phage P9903,35256
Halorubrum tailed virus 28,35270
Bearded dragon adenovirus 1,35275
Streptococcus phage STP1,35283
Propionibacterium phage Anatole,35284
Streptococcus phage CHPC950,35299
Pseudoalteromonas phage HS6,35330
Human mastadenovirus B,35343
Pseudomonas phage vB_Pae_BR319a,35343
Streptococcus phage CHPC1152,35353
Streptococcus phage SW12,35382
Streptococcus phage P7601,35395
Burkholderia phage ST79,35430
Sulfolobus islandicus rod-shaped phage 6,35439
Streptococcus phage SWK3,35443
Streptococcus phage P3684,35444
Sulfolobus islandicus rod-shaped virus 2,35450
Streptococcus phage 7201,35466
Simian adenovirus 49,35499
Human adenovirus 7,35514
simian adenovirus 21,35524
Streptococcus phage ALQ13.2,35525
Streptococcus phage P9902,35535
Lactococcus phage bIL285,35538
Streptococcus phage 858,35543
Streptococcus phage CHPC1247,35543
Cynomolgus adenovirus 1,35555
Pseudomonas phage phiCTX,35580
Southern Psittacara leucophthalmus aviadenovirus,35595
Listeria phage P40,35638
Paenibacillus phage HB10c2,35644
Nonlabens phage P12024L,35652
Streptococcus phage P0091,35653
Streptococcus phage P7152,35663
Simian adenovirus 8,35685
Streptococcus phage P7954,35688
Streptococcus phage CHPC595,35697
Nonlabens phage P12024S,35700
Clostridium phage phiCT19406C,35703
Streptococcus phage CHPC642,35715
Halorubrum tailed virus 4,35722
Psychrobacter phage Psymv2,35725
Burkholderia phage phiE202,35741
Mannheimia phage vB_MhM_587AP1,35764
Streptococcus phage P7953,35786
Escherichia phage P88,35814
Listeria phage P35,35822
Streptococcus phage P9851,35835
Streptococcus phage P7132,35843
Salinibacter phage M1EM-1,35883
Aplysia californica nido-like virus,35906
Streptococcus phage SW14,35913
Streptococcus phage SW7,35917
Streptococcus phage CHPC1029,35920
Streptococcus phage P7633,35921
Streptococcus phage CHPC1027,35928
Streptococcus phage 7A5,35936
Human adenovirus 2,35937
Human mastadenovirus C,35937
Human adenovirus 5,35938
Propionibacterium phage B3,35948
Streptococcus phage P0095,35966
Rhodobacter phage RcCronus,35985
Streptococcus phage P7632,35988
Human mastadenovirus E,35994
Human adenovirus 1,36001
Streptococcus phage CHPC879,36011
Flavobacterium phage 11b,36012
Streptococcus phage SMP,36019
Brevibacterium phage AGM1,36032
Enterobacter phage E-2,36051
Rhodobacter phage RcRhea,36065
Veiled chameleon serpentovirus B,36144
Streptococcus phage P7631,36164
Streptococcus phage P3681,36168
Lactococcus phage 98201,36202
Ovine adenovirus 8,36206
Streptomyces phage Austintatious,36213
Streptococcus phage SW11,36250
Enterococcus phage phiFL2A,36270
Bacillus phage Deep-Purple,36278
Burkholderia phage PhiBP82.2,36280
Streptococcus phage P7574,36298
Sulfolobus islandicus rod-shaped virus 5,36306
uncultured Caudovirales phage,36306
Rhodoferax phage P26218,36315
Streptococcus phage CHPC1036,36333
Streptococcus phage CHPC930,36350
Sulfolobus islandicus rod-shaped virus 9,36391
Shewanella phage X14,36396
Arthrobacter phage Sarge,36407
Pseudomonas phage MP22,36409
Pseudomonas phage DMS3,36415
Lactobacillus phage Lc-Nu,36466
Streptococcus phage CHPC951,36471
Yersinia phage vB_YenM_42.18,36481
Streptococcus phage CHPC931,36490
Sulfolobus islandicus rod-shaped virus 8,36493
Burkholderia phage AP3,36499
Simian adenovirus 25,36519
Hamiltonella phage APSE-1,36524
Lactobacillus phage phiAQ113,36566
Streptococcus phage CHPC875,36576
Streptococcus phage SW13,36587
Streptococcus phage Str-PAP-1,36595
Lactococcus phage 4268,36596
Halorubrum tailed virus 29,36603
Bacillus phage Cherry,36615
Vibrio phage ValB1MD-2,36616
Pseudomonas phage JBD93,36629
Pseudomonas phage MP29,36632
Faecalibacterium phage FP_Mushu,36636
Escherichia phage HK75,36661
Xylella phage Xfas53,36674
Lactobacillus phage phiJL-1,36674
Burkholderia phage phiE12-2,36690
Chimpanzee adenovirus Y25,36711
Clostridium phage phiCT453B,36712
Escherichia phage Mu,36717
Streptococcus phage 73,36733
Mannheimia phage vB_MhM_1127AP1,36745
Burkholderia phage BcepMu,36748
Streptococcus phage B0,36773
Streptococcus phage CHPC952,36775
Arthrobacter phage Maja,36776
Lactococcus phage ul36,36798
Streptococcus phage IPP52,36805
Pseudomonas phage LPB1,36814
Streptococcus phage CHPC1033,36827
Streptococcus phage SW5,36836
Titi monkey adenovirus ECC-2011,36838
Pseudomonas phage MP48,36838
